density,seeds,cellsRevealed,solverRuns,actions,guessRate,stallsPer1000,ambiguousComponentRate,tier_t1Open,tier_t1Flag,tier_t2Subset,tier_t2Pair,tier_t3,tier_t4,overrideRate,interventions,interventionRate,compP50,compP95,compP99,compMax,solveMsAvg,solveMsP99,solveMsMax,hitsPer1000,settlements,minesOwned,minesPer1000
0.08,3,9038,3,389,0.0000,0.0,0.4231,0.5363,0.3721,0.0573,0.0344,0.0000,0.0000,0.0000,0,0.0000,5,57,79,79,0.926,1.174,1.174,0.00,79,110,12.2
0.12,3,9468,8,1743,0.0000,0.0,0.4096,0.6111,0.3332,0.0169,0.0378,0.0011,0.0000,0.0000,0,0.0000,9,174,272,272,1.165,1.745,1.745,0.00,258,374,39.5
0.16,3,9010,21,4220,0.0000,0.0,0.6221,0.6549,0.2724,0.0273,0.0454,0.0000,0.0000,0.0000,0,0.0000,21,123,193,233,0.961,1.642,1.642,0.00,714,1038,115.2
0.2,3,9011,45,6266,0.0000,0.0,0.7681,0.6382,0.2552,0.0492,0.0565,0.0008,0.0000,0.0000,0,0.0000,14,62,111,137,0.942,2.210,2.210,0.00,1115,1521,168.8
0.25,3,9008,123,8004,0.0000,0.0,0.9116,0.5864,0.2541,0.0749,0.0825,0.0022,0.0000,0.0000,0,0.0000,11,40,65,103,1.984,5.020,5.246,0.00,1448,1943,215.7
0.3,3,9027,983,9676,0.0196,0.0,0.9928,0.5313,0.2728,0.0966,0.0967,0.0026,0.0000,0.0061,1,0.0001,8,30,54,72,4.243,37.215,47.340,2.66,1836,2562,283.8
0.35,3,9004,2572,10693,0.0821,0.0,0.9972,0.4723,0.2942,0.1195,0.1065,0.0066,0.0009,0.0201,2,0.0002,6,26,52,107,10.519,50.555,63.187,15.88,2011,2927,325.1
