density,seeds,cellsRevealed,solverRuns,actions,guessRate,stallsPer1000,ambiguousComponentRate,tier_t1Open,tier_t1Flag,tier_t2Subset,tier_t2Pair,tier_t3,tier_t4,overrideRate,interventions,interventionRate,compP50,compP95,compP99,compMax,solveMsAvg,solveMsP99,solveMsMax,hitsPer1000,settlements,minesOwned,minesPer1000
0.08,3,10440,470,462,0.0000,17.0,0.1562,0.5388,0.4315,0.0209,0.0087,0.0000,0.0000,0.0000,0,0.0000,4,17,33,39,0.116,0.523,1.101,0.00,98,118,11.3
0.12,3,9359,1467,1448,0.0000,13.0,0.2125,0.5717,0.3909,0.0247,0.0127,0.0000,0.0000,0.0000,0,0.0000,4,30,40,58,0.095,0.342,2.360,0.00,297,421,45.0
0.16,3,9295,4070,4027,0.0000,10.6,0.3362,0.6173,0.3192,0.0305,0.0329,0.0000,0.0000,0.0000,0,0.0000,7,34,45,76,0.094,0.352,1.587,0.00,797,1006,108.2
0.2,3,9033,6079,6023,0.0000,9.2,0.5080,0.6116,0.3024,0.0381,0.0477,0.0001,0.0000,0.0000,0,0.0000,8,34,50,72,0.102,0.357,1.741,0.00,1104,1380,152.8
0.25,3,9013,8339,8234,0.0000,12.6,0.6905,0.5678,0.3018,0.0625,0.0670,0.0009,0.0000,0.0000,0,0.0000,8,30,43,66,0.116,0.428,1.855,0.00,1501,2007,222.7
0.3,3,9024,10076,9723,0.0185,35.0,0.8162,0.5328,0.3021,0.0707,0.0938,0.0006,0.0000,0.0028,0,0.0000,7,28,38,65,0.124,0.452,3.709,2.77,1849,2574,285.2
0.35,3,9000,11770,10861,0.0638,77.2,0.9006,0.4927,0.3207,0.0881,0.0964,0.0020,0.0001,0.0201,3,0.0003,6,23,34,54,0.170,0.663,20.930,14.44,2010,3047,338.6
